tag,window_s,bands,best_threshold,acc,kappa,mdt_steps_mean
w1.5_bp3,1.5,bp3,0.7,0.6601190476190476,0.3202380952380952,5.965079365079365
w1.5_fb6,1.5,fb6,0.8,0.6770612874779541,0.35412257495590826,7.058873456790123
w1_bp3,1.0,bp3,0.7,0.6438712522045855,0.2877425044091711,7.540222663139329
w1_fb6,1.0,fb6,0.7,0.6607142857142857,0.32142857142857145,6.371814373897707
w2.5_bp3,2.5,bp3,0.6,0.6706900352733686,0.3413800705467372,2.2863536155202824
w2.5_fb6,2.5,fb6,0.7,0.6849426807760141,0.36988536155202817,3.177744708994709
w2_bp3,2.0,bp3,0.7,0.6698963844797179,0.3397927689594356,4.662863756613757
w2_fb6,2.0,fb6,0.8,0.6841710758377425,0.368342151675485,5.571604938271605
w3_bp3,3.0,bp3,0.6,0.6804122574955908,0.36082451499118157,1.8962852733686066
w3_fb6,3.0,fb6,0.6,0.6953373015873017,0.3906746031746032,1.6851410934744269
