update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,-0.09599998533725738,1.6,0.0
1,2048,-0.054899986386299136,1.49,0.0
2,3072,0.06520001411437988,1.48,0.0
3,4096,0.06480001449584961,1.52,0.0
4,5120,0.004100014567375183,1.59,0.0
5,6144,-0.0949999862909317,1.5,0.0
6,7168,0.00480001449584961,1.52,0.0
7,8192,-0.07599998533725738,1.6,0.0
8,9216,-0.07789998352527619,1.79,0.0
9,10240,-0.016899985671043397,1.69,0.0
10,11264,-0.07509998619556427,1.51,0.0
11,12288,0.005900012850761413,1.41,0.0
12,13312,-0.05469998598098755,1.47,0.0
13,14336,0.003100014925003052,1.69,0.0
14,15360,-0.034899985790252684,1.49,0.0
15,16384,0.10370001554489136,1.63,0.0
16,17408,-0.016499986648559572,1.65,0.0
17,18432,-0.09569998562335968,1.57,0.0
18,19456,-0.15559998512268067,1.56,0.0
