update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,-0.15519998610019684,1.52,0.0
1,2048,-0.11519998550415039,1.52,0.0
2,3072,0.20520001351833345,1.48,0.0
3,4096,-0.05509998559951782,1.51,0.0
4,5120,0.04460001468658447,1.54,0.0
5,6144,-0.09529998660087585,1.53,0.0
6,7168,0.12410001397132873,1.59,0.0
7,8192,-0.05509998559951782,1.51,0.0
8,9216,0.06530001401901245,1.47,0.0
9,10240,0.06620001316070556,1.38,0.0
10,11264,-0.19469998598098756,1.47,0.0
11,12288,-0.09499998569488526,1.5,0.0
12,13312,0.02550001323223114,1.45,0.0
13,14336,-0.09439998626708984,1.44,0.0
14,15360,-0.07409998655319214,1.41,0.0
15,16384,-0.0349999862909317,1.5,0.0
16,17408,-0.055699986219406125,1.57,0.0
17,18432,-0.05539998531341553,1.54,0.0
18,19456,0.04480001389980316,1.52,0.0
