update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,-0.08,1.6,0.0
1,2048,-0.04,1.49,0.0
2,3072,0.08,1.48,0.0
3,4096,0.08,1.52,0.0
4,5120,0.02,1.59,0.0
5,6144,-0.08,1.5,0.0
6,7168,0.02,1.52,0.0
7,8192,-0.06,1.6,0.0
8,9216,-0.06,1.79,0.0
9,10240,0.0,1.69,0.0
10,11264,-0.02,1.51,0.0
11,12288,-0.04,1.41,0.0
12,13312,0.04,1.47,0.0
13,14336,0.12,1.69,0.0
14,15360,-0.04,1.49,0.0
15,16384,0.14,1.63,0.0
16,17408,0.08,1.65,0.0
17,18432,-0.04,1.57,0.0
18,19456,-0.02,1.56,0.0
