update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,-0.09549998521804809,1.55,0.0
1,2048,0.023400014638900755,1.66,0.0
2,3072,0.02490001380443573,1.51,0.0
3,4096,-0.15529998540878295,1.53,0.0
4,5120,0.20500001430511475,1.5,0.0
5,6144,-0.014499986171722412,1.45,0.0
6,7168,0.06510001301765442,1.49,0.0
7,8192,0.00550001323223114,1.45,0.0
8,9216,-0.09449998676776886,1.45,0.0
9,10240,0.044000014662742615,1.6,0.0
10,11264,0.1039000153541565,1.61,0.0
11,12288,0.026100013256072998,1.39,0.0
12,13312,-0.11609998524188996,1.61,0.0
13,14336,0.0445000147819519,1.55,0.0
14,15360,0.005700013041496277,1.43,0.0
15,16384,-0.11699998497962952,1.7,0.0
16,17408,0.005700013041496277,1.43,0.0
17,18432,-0.15469998598098755,1.47,0.0
18,19456,-0.0965999859571457,1.66,0.0
19,20480,0.023200015425682067,1.68,0.0
20,21504,-0.03559998571872711,1.56,0.0
21,22528,0.004700014591217041,1.53,0.0
22,23552,-0.1541999864578247,1.42,0.0
23,24576,0.16360001504421234,1.64,0.0
24,25600,-0.11509998559951783,1.51,0.0
25,26624,-0.11489998638629913,1.49,0.0
26,27648,0.024500014781951903,1.55,0.0
27,28672,0.22500001430511474,1.5,0.0
28,29696,0.10390001475811005,1.61,0.0
29,30720,0.1044000142812729,1.56,0.0
30,31744,-0.014599986672401429,1.46,0.0
31,32768,0.06490001320838928,1.51,0.0
32,33792,0.0041000133752822875,1.59,0.0
33,34816,0.04470001339912415,1.53,0.0
34,35840,-0.1750999867916107,1.51,0.0
35,36864,-0.05649998545646667,1.65,0.0
36,37888,0.12480001389980316,1.52,0.0
37,38912,-0.07539998590946198,1.54,0.0
38,39936,0.145300013422966,1.47,0.0
39,40960,-0.13469998598098754,1.47,0.0
40,41984,-0.13459998607635498,1.46,0.0
41,43008,-0.09519998610019684,1.52,0.0
42,44032,0.04540001392364502,1.46,0.0
43,45056,0.06410001456737519,1.59,0.0
44,46080,0.0050000143051147465,1.5,0.0
45,47104,-0.05539998531341553,1.54,0.0
46,48128,-0.19319998800754548,1.32,0.0
47,49152,-0.03559998631477356,1.56,0.0
48,50176,-0.29439998626708985,1.44,0.0
49,51200,0.0639000141620636,1.61,0.0
50,52224,0.08400001406669616,1.6,0.0
51,53248,0.1042000138759613,1.58,0.0
52,54272,-0.11519998550415039,1.52,0.0
53,55296,-0.13519998610019685,1.52,0.0
54,56320,-0.033899986743927,1.39,0.0
55,57344,-0.13429998695850373,1.43,0.0
56,58368,0.10620001316070557,1.38,0.0
57,59392,-0.016199984550476075,1.62,0.0
58,60416,-0.03419998705387115,1.42,0.0
59,61440,0.08620001316070557,1.38,0.0
60,62464,0.0050000143051147465,1.5,0.0
61,63488,-0.03699998438358307,1.7,0.0
62,64512,-0.13439998626708985,1.44,0.0
63,65536,0.08450001239776611,1.55,0.0
64,66560,-0.015199986100196839,1.52,0.0
65,67584,-0.03539998590946197,1.54,0.0
66,68608,0.02470001399517059,1.53,0.0
67,69632,0.022800015807151793,1.72,0.0
68,70656,-0.09559998512268067,1.56,0.0
69,71680,-0.09519998550415039,1.52,0.0
70,72704,-0.033899986743927,1.39,0.0
71,73728,0.08430001437664032,1.57,0.0
72,74752,0.023500015139579774,1.65,0.0
73,75776,0.14480001330375672,1.52,0.0
74,76800,-0.1968999844789505,1.69,0.0
75,77824,-0.13339998722076415,1.34,0.0
76,78848,-0.19489998757839203,1.49,0.0
77,79872,0.26580001294612887,1.42,0.0
78,80896,0.005000013709068298,1.5,0.0
79,81920,0.06290001571178436,1.71,0.0
80,82944,-0.07439998626708984,1.44,0.0
81,83968,0.10430001437664033,1.57,0.0
82,84992,-0.15609998524188995,1.61,0.0
83,86016,-0.034699986577034,1.47,0.0
84,87040,-0.03409998655319214,1.41,0.0
85,88064,0.004000014662742615,1.6,0.0
86,89088,-0.03379998743534088,1.38,0.0
87,90112,-0.11469998598098755,1.47,0.0
88,91136,0.0858000135421753,1.42,0.0
89,92160,0.043700015544891356,1.63,0.0
90,93184,0.003300015330314636,1.67,0.0
91,94208,-0.2349999862909317,1.5,0.0
92,95232,0.06470001339912415,1.53,0.0
93,96256,0.08570001363754272,1.43,0.0
94,97280,-0.1551999855041504,1.52,0.0
95,98304,0.04440001428127289,1.56,0.0
96,99328,-0.11539998531341553,1.54,0.0
97,100352,-0.01599998593330383,1.6,0.0
98,101376,-0.07459998667240143,1.46,0.0
99,102400,-0.1944999861717224,1.45,0.0
100,103424,-0.014799986481666565,1.48,0.0
101,104448,0.004600014686584473,1.54,0.0
102,105472,-0.035099985599517824,1.51,0.0
103,106496,0.12530001401901245,1.47,0.0
104,107520,0.00490001380443573,1.51,0.0
105,108544,-0.03399998664855957,1.4,0.0
106,109568,-0.07489998579025268,1.49,0.0
107,110592,0.02420001447200775,1.58,0.0
108,111616,0.12490001440048218,1.51,0.0
109,112640,-0.19379998683929445,1.38,0.0
110,113664,-0.015599985122680664,1.56,0.0
111,114688,-0.03539998650550842,1.54,0.0
112,115712,0.10350001335144043,1.65,0.0
113,116736,-0.13419998645782472,1.42,0.0
114,117760,0.12390001475811005,1.61,0.0
115,118784,0.08470001459121704,1.53,0.0
116,119808,0.004500013589859009,1.55,0.0
117,120832,0.004200015068054199,1.58,0.0
118,121856,0.08600001335144043,1.4,0.0
119,122880,0.16570001304149629,1.43,0.0
120,123904,-0.05529998600482941,1.53,0.0
121,124928,-0.09419998645782471,1.42,0.0
122,125952,-0.11609998464584351,1.61,0.0
123,126976,-0.09589998602867127,1.59,0.000244140625
124,128000,-0.03369998693466186,1.37,0.0
125,129024,0.10480001389980316,1.52,0.0
126,130048,0.08520001411437989,1.48,0.000732421875
127,131072,0.044200015068054196,1.58,0.0
128,132096,-0.054699986577033996,1.47,0.001220703125
129,133120,0.12400001466274262,1.6,0.000244140625
130,134144,-0.05439998626708984,1.44,0.000244140625
131,135168,0.1257000136375427,1.43,0.000732421875
132,136192,0.12520001351833343,1.48,0.001220703125
133,137216,-0.05529998600482941,1.53,0.0
134,138240,-0.014599986672401429,1.46,0.001220703125
135,139264,0.10560001313686371,1.44,0.00146484375
136,140288,-0.09599998533725738,1.6,0.00244140625
137,141312,0.14570001363754273,1.43,0.00146484375
138,142336,0.12420001447200775,1.58,0.001220703125
139,143360,-0.05529998540878296,1.53,0.0009765625
140,144384,0.1250000137090683,1.5,0.002685546875
141,145408,0.085300013422966,1.47,0.010986328125
142,146432,0.04530001401901245,1.47,0.0048828125
143,147456,0.20480001270771026,1.52,0.004638671875
144,148480,-0.015099985599517822,1.51,0.00244140625
145,149504,0.026300013065338135,1.37,0.002685546875
146,150528,-0.03509998619556427,1.51,0.00048828125
147,151552,0.10660001218318939,1.34,0.001953125
148,152576,0.14580001354217528,1.42,0.00390625
149,153600,0.2648000144958496,1.52,0.001220703125
150,154624,0.10550001382827759,1.45,0.0048828125
151,155648,-0.07459998667240143,1.46,0.00341796875
152,156672,0.024500014781951903,1.55,0.005126953125
153,157696,-0.01569998502731323,1.57,0.009765625
154,158720,0.20520001351833345,1.48,0.0009765625
155,159744,0.12500001430511476,1.5,0.010009765625
156,160768,0.04590001344680786,1.41,0.0068359375
157,161792,0.027000012397766112,1.3,0.002685546875
158,162816,0.08540001392364502,1.46,0.005615234375
159,163840,0.2872000116109848,1.28,0.001708984375
160,164864,0.025300012826919557,1.47,0.002197265625
161,165888,0.1463000124692917,1.37,0.000732421875
162,166912,0.08510001420974732,1.49,0.00390625
163,167936,0.086100013256073,1.39,0.000244140625
164,168960,0.10410001397132873,1.59,0.003173828125
165,169984,0.1664000129699707,1.36,0.00048828125
166,171008,-0.05439998626708984,1.44,0.006103515625
167,172032,0.16650001287460328,1.35,0.003173828125
168,173056,0.024400014877319336,1.56,0.00244140625
169,174080,-0.053999987840652464,1.4,0.00390625
170,175104,0.24620001316070556,1.38,0.001953125
171,176128,0.045200014114379884,1.48,0.00341796875
172,177152,-0.13549998581409453,1.55,0.00146484375
173,178176,0.10740001142024994,1.26,0.003173828125
174,179200,0.16440001487731934,1.56,0.0048828125
175,180224,-0.014599986672401429,1.46,0.001953125
176,181248,0.1047000139951706,1.53,0.002685546875
177,182272,0.1258000135421753,1.42,0.000732421875
