update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,-0.08,1.6,0.0
1,2048,-0.1,1.49,0.0
2,3072,0.04,1.48,0.0
3,4096,0.08,1.52,0.0
4,5120,-0.22,1.59,0.0
5,6144,-0.22,1.5,0.0
6,7168,-0.04,1.52,0.0
7,8192,-0.02,1.6,0.0
8,9216,-0.04,1.79,0.0
9,10240,0.06,1.69,0.0
10,11264,0.04,1.51,0.0
11,12288,-0.06,1.41,0.0
12,13312,-0.22,1.47,0.0
13,14336,0.14,1.69,0.0
14,15360,0.08,1.49,0.0
15,16384,-0.12,1.64,0.0
16,17408,0.06,1.65,0.0
17,18432,-0.12,1.57,0.0
18,19456,-0.02,1.56,0.0
19,20480,0.14,1.64,0.0
20,21504,-0.08,1.69,0.0
21,22528,-0.18,1.67,0.0
22,23552,0.22,1.6,0.0
23,24576,0.12,1.54,0.0
24,25600,0.02,1.44,0.0
25,26624,-0.04,1.55,0.0
26,27648,-0.08,1.59,0.0
27,28672,0.04,1.47,0.0
28,29696,-0.02,1.7,0.0
29,30720,0.02,1.6,0.0
30,31744,0.08,1.52,0.0
31,32768,0.1,1.45,0.0
32,33792,-0.06,1.56,0.0
33,34816,-0.1,1.81,0.0
34,35840,0.02,1.51,0.0
35,36864,-0.04,1.61,0.0
36,37888,0.02,1.57,0.0
37,38912,-0.02,1.54,0.0
38,39936,0.1,1.53,0.0
39,40960,-0.04,1.57,0.0
40,41984,0.18,1.53,0.0
41,43008,0.08,1.57,0.0
42,44032,0.12,1.56,0.0
43,45056,-0.14,1.61,0.0
44,46080,-0.02,1.62,0.0
45,47104,0.16,1.55,0.0
46,48128,-0.04,1.49,0.0
47,49152,-0.04,1.38,0.0
48,50176,-0.02,1.51,0.0
49,51200,-0.1,1.55,0.0
50,52224,0.0,1.49,0.0
51,53248,0.22,1.49,0.0
52,54272,0.14,1.48,0.0
53,55296,-0.08,1.57,0.0
54,56320,0.06,1.61,0.0
55,57344,-0.04,1.58,0.0
56,58368,0.02,1.6,0.0
57,59392,-0.02,1.65,0.0
58,60416,-0.02,1.52,0.0
59,61440,0.02,1.66,0.0
60,62464,-0.04,1.56,0.0
61,63488,-0.02,1.5,0.0
62,64512,0.02,1.62,0.0
63,65536,-0.04,1.58,0.0
64,66560,0.0,1.55,0.0
65,67584,-0.02,1.54,0.0
66,68608,-0.04,1.63,0.0
67,69632,-0.02,1.46,0.0
68,70656,-0.02,1.47,0.0
69,71680,0.0,1.7,0.0
70,72704,-0.02,1.69,0.0
71,73728,-0.06,1.49,0.0
72,74752,0.0,1.58,0.0
73,75776,0.02,1.55,0.0
74,76800,0.0,1.56,0.0
75,77824,0.08,1.55,0.0
76,78848,-0.1,1.45,0.0
77,79872,0.18,1.43,0.0
78,80896,0.02,1.48,0.0
79,81920,-0.12,1.47,0.0
80,82944,-0.08,1.5,0.0
81,83968,-0.06,1.66,0.0
82,84992,0.06,1.55,0.0
83,86016,0.18,1.57,0.0
84,87040,0.14,1.64,0.0
85,88064,-0.02,1.54,0.0
86,89088,0.06,1.63,0.0
87,90112,-0.08,1.56,0.0
88,91136,-0.14,1.52,0.0
89,92160,0.1,1.61,0.0
90,93184,0.16,1.72,0.0
91,94208,-0.18,1.6,0.0
92,95232,-0.04,1.75,0.0
93,96256,0.1,1.39,0.0
94,97280,0.02,1.51,0.0
95,98304,0.26,1.54,0.0
96,99328,-0.06,1.61,0.0
97,100352,-0.14,1.55,0.0
98,101376,0.16,1.55,0.0
99,102400,-0.06,1.5,0.0
100,103424,-0.18,1.66,0.0
101,104448,-0.12,1.51,0.0
102,105472,-0.08,1.61,0.0
103,106496,-0.08,1.45,0.0
104,107520,0.0,1.49,0.0
105,108544,0.18,1.36,0.0
106,109568,0.18,1.51,0.000732421875
107,110592,-0.08,1.55,0.0
108,111616,-0.06,1.47,0.00048828125
109,112640,-0.08,1.54,0.0
110,113664,-0.02,1.36,0.000732421875
111,114688,-0.08,1.55,0.0
112,115712,0.1,1.41,0.0
113,116736,-0.04,1.84,0.0
114,117760,0.0,1.44,0.001220703125
115,118784,0.14,1.62,0.000244140625
116,119808,0.06,1.62,0.0
117,120832,0.02,1.56,0.000732421875
118,121856,0.2,1.56,0.00341796875
119,122880,0.02,1.61,0.000244140625
120,123904,-0.1,1.4,0.001220703125
121,124928,0.02,1.6,0.00146484375
122,125952,0.02,1.55,0.003173828125
123,126976,0.06,1.6,0.005126953125
124,128000,0.1,1.62,0.001220703125
125,129024,0.0,1.62,0.00390625
126,130048,-0.04,1.57,0.004150390625
