update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,-0.09599998533725738,1.6,0.0
1,2048,-0.054899986386299136,1.49,0.0
2,3072,0.06520001411437988,1.48,0.0
3,4096,0.06480001449584961,1.52,0.0
4,5120,0.004100014567375183,1.59,0.0
5,6144,-0.0949999862909317,1.5,0.0
6,7168,0.00480001449584961,1.52,0.0
7,8192,-0.07599998533725738,1.6,0.0
8,9216,-0.07789998352527619,1.79,0.0
9,10240,-0.016899985671043397,1.69,0.0
10,11264,-0.07509998619556427,1.51,0.0
11,12288,0.005900012850761413,1.41,0.0
12,13312,-0.05469998598098755,1.47,0.0
13,14336,0.003100014925003052,1.69,0.0
14,15360,-0.034899985790252684,1.49,0.0
15,16384,0.10370001554489136,1.63,0.0
16,17408,-0.016499986648559572,1.65,0.0
17,18432,-0.09569998562335968,1.57,0.0
18,19456,-0.15559998512268067,1.56,0.0
19,20480,0.0836000144481659,1.64,0.0
20,21504,-0.03679998517036438,1.68,0.0
21,22528,0.14330001473426818,1.67,0.0
22,23552,-0.2157999849319458,1.58,0.0
23,24576,0.005100014209747314,1.49,0.0
24,25600,-0.09429998636245727,1.43,0.0
25,26624,-0.1354999852180481,1.55,0.0
26,27648,-0.2558999848365784,1.59,0.0
27,28672,-0.05469998598098755,1.47,0.0
28,29696,0.10320001602172851,1.68,0.0
29,30720,-0.17589998483657837,1.59,0.0
30,31744,-0.2551999855041504,1.52,0.0
31,32768,0.04560001313686371,1.44,0.0
32,33792,-0.015399985909461976,1.54,0.0
33,34816,-0.25719998359680174,1.72,0.0
34,35840,0.045000014305114744,1.5,0.0
35,36864,0.04410001516342163,1.59,0.0
36,37888,0.10430001497268676,1.57,0.0
37,38912,-0.1750999855995178,1.51,0.0
38,39936,0.02480001449584961,1.52,0.0
39,40960,0.20460001468658448,1.54,0.0
40,41984,-0.11509998559951783,1.51,0.0
41,43008,0.024900014400482177,1.51,0.0
42,44032,-0.15559998512268067,1.56,0.0
43,45056,0.06430001258850097,1.57,0.0
44,46080,-0.2760999846458435,1.61,0.0
45,47104,-0.19519998550415038,1.52,0.0
46,48128,-0.07479998648166657,1.48,0.0
47,49152,0.06620001316070556,1.38,0.0
48,50176,-0.014699986577033997,1.47,0.0
49,51200,0.0848000144958496,1.52,0.0
50,52224,-0.1548999857902527,1.49,0.0
51,53248,-0.034699986577034,1.47,0.0
52,54272,0.0059000134468078615,1.41,0.0
53,55296,-0.03519998610019684,1.52,0.0
54,56320,0.06400001406669617,1.6,0.0
55,57344,0.02430001437664032,1.57,0.0
56,58368,-0.07559998571872711,1.56,0.0
57,59392,0.0039000153541564942,1.61,0.0
58,60416,0.04490001440048218,1.51,0.0
59,61440,-0.0560999858379364,1.61,0.0
60,62464,-0.195499986410141,1.55,0.0
61,63488,-0.07429998636245727,1.43,0.0
62,64512,-0.09559998571872712,1.56,0.0
63,65536,0.12470001339912415,1.53,0.0
64,66560,0.12480001389980316,1.52,0.0
65,67584,0.045700013637542725,1.43,0.0
66,68608,-0.15629998505115508,1.63,0.0
67,69632,-0.03439998686313629,1.44,0.0
68,70656,-0.05459998607635498,1.46,0.0
69,71680,0.02330001473426819,1.67,0.0
70,72704,0.06430001437664032,1.57,0.0
71,73728,-0.07459998607635498,1.46,0.0
72,74752,0.024300014972686766,1.57,0.0
73,75776,0.025400013327598572,1.46,0.0
74,76800,0.14460001468658448,1.54,0.0
75,77824,-0.035499985814094547,1.55,0.0
76,78848,-0.053999987244606015,1.4,0.0
77,79872,0.02650001287460327,1.35,0.0
78,80896,-0.014699985980987549,1.47,0.0
79,81920,0.02540001392364502,1.46,0.0
80,82944,-0.11499998629093171,1.5,0.0
81,83968,-0.11619998574256897,1.62,0.0
82,84992,0.004700014591217041,1.53,0.0
83,86016,0.06460001468658447,1.54,0.0
84,87040,-0.01569998502731323,1.57,0.0
85,88064,0.08480001330375671,1.52,0.0
86,89088,0.08420001447200776,1.58,0.0
87,90112,-0.13559998512268068,1.56,0.0
88,91136,-0.1749999862909317,1.5,0.0
89,92160,-0.1960999846458435,1.61,0.0
90,93184,-0.15719998478889466,1.72,0.0
91,94208,-0.09519998669624329,1.52,0.0
92,95232,-0.0371999853849411,1.72,0.0
93,96256,-0.033599987030029296,1.36,0.0
94,97280,-0.014799986481666565,1.48,0.0
95,98304,-0.035299986600875854,1.53,0.0
96,99328,-0.13569998502731323,1.57,0.0
97,100352,-0.11499998688697816,1.5,0.0
98,101376,-0.13499998569488525,1.5,0.0
99,102400,0.16560001373291017,1.44,0.0
100,103424,-0.05629998445510864,1.63,0.0
101,104448,0.0050000143051147465,1.5,0.0
102,105472,-0.05549998581409454,1.55,0.0
103,106496,0.08590001344680787,1.41,0.0
104,107520,0.02540001392364502,1.46,0.0
105,108544,0.18680001258850099,1.32,0.0
106,109568,-0.13499998569488525,1.5,0.0
107,110592,0.0845000147819519,1.55,0.0
108,111616,0.02560001313686371,1.44,0.0
109,112640,-0.035399985313415525,1.54,0.0
110,113664,0.02650001287460327,1.35,0.0
111,114688,0.004800013899803161,1.52,0.0
112,115712,0.12620001256465913,1.38,0.0
113,116736,-0.07789998412132264,1.79,0.0
114,117760,0.12570001304149628,1.43,0.0
115,118784,-0.07569998621940613,1.57,0.0
116,119808,0.06390001475811005,1.61,0.0
117,120832,-0.15559998512268067,1.56,0.0
118,121856,0.08460001468658447,1.54,0.0
119,122880,0.12450001358985902,1.55,0.0
120,123904,0.146100013256073,1.39,0.0
121,124928,-0.0157999849319458,1.58,0.0
122,125952,-0.07529998540878297,1.53,0.0
123,126976,0.0642000150680542,1.58,0.0
124,128000,-0.05599998593330383,1.6,0.0
125,129024,-0.11589998602867127,1.59,0.0
126,130048,-0.11569998502731323,1.57,0.0
127,131072,-0.13599998593330384,1.6,0.0
128,132096,0.024900014400482177,1.51,0.0
129,133120,0.1239000141620636,1.61,0.0
130,134144,0.08550001323223114,1.45,0.0
131,135168,0.10570001363754272,1.43,0.0
132,136192,-0.15409998655319213,1.41,0.0
133,137216,0.004500014781951904,1.55,0.0
134,138240,0.005300014019012451,1.47,0.0
135,139264,0.10480001449584961,1.52,0.0
136,140288,-0.07599998593330383,1.6,0.0
137,141312,0.06470001339912415,1.53,0.0
138,142336,-0.1559999853372574,1.6,0.0
139,143360,-0.09609998524188995,1.61,0.0
140,144384,-0.15529998540878295,1.53,0.0
141,145408,-0.23589998483657837,1.59,0.0
142,146432,0.06390001475811005,1.61,0.0
143,147456,-0.09459998667240142,1.46,0.0
144,148480,-0.19539998710155487,1.54,0.0
145,149504,0.02510001301765442,1.49,0.0
146,150528,0.044700014591217044,1.53,0.0
147,151552,-0.03589998543262482,1.59,0.0
148,152576,-0.014999986290931702,1.5,0.0
149,153600,0.002700015902519226,1.73,0.0
150,154624,-0.15559998631477356,1.56,0.0
151,155648,0.12430001378059387,1.57,0.0
152,156672,-0.07469998598098755,1.47,0.0
153,157696,0.06330001533031464,1.67,0.0
154,158720,-0.07469998598098755,1.47,0.0
155,159744,-0.07469998598098755,1.47,0.0
156,160768,0.025100014209747314,1.49,0.0
157,161792,0.06550001323223115,1.45,0.0
158,162816,0.10480001449584961,1.52,0.0
159,163840,-0.13679998397827148,1.68,0.0
160,164864,-0.07469998598098755,1.47,0.0
161,165888,0.0439000141620636,1.61,0.0
162,166912,-0.03689998507499695,1.69,0.0
163,167936,0.00550001323223114,1.45,0.0
164,168960,-0.05529998600482941,1.53,0.0
165,169984,0.1637000149488449,1.63,0.0
166,171008,0.08510001301765442,1.49,0.0
167,172032,0.006300013065338134,1.37,0.0
168,173056,-0.05549998641014099,1.55,0.0
169,174080,0.024900014400482177,1.51,0.0
170,175104,-0.05539998590946198,1.54,0.0
171,176128,0.08540001392364502,1.46,0.0
172,177152,0.02490001380443573,1.51,0.0
173,178176,-0.13469998598098754,1.47,0.0
174,179200,-0.01579998552799225,1.58,0.0
175,180224,-0.09519998550415039,1.52,0.0
176,181248,0.04510001361370087,1.49,0.0
177,182272,0.18460001468658446,1.54,0.0
178,183296,-0.13519998610019685,1.52,0.0
179,184320,-0.035399985313415525,1.54,0.0
180,185344,0.026900011897087097,1.31,0.0
181,186368,0.10450001418590546,1.55,0.0
182,187392,0.06540001332759857,1.46,0.0
183,188416,-0.055699985027313235,1.57,0.0
184,189440,-0.033899986743927,1.39,0.0
185,190464,-0.11409998655319215,1.41,0.0
186,191488,-0.05459998667240143,1.46,0.0
187,192512,0.02490001380443573,1.51,0.0
188,193536,-0.1362999850511551,1.63,0.0
189,194560,-0.03509998679161072,1.51,0.0
190,195584,-0.11629998445510864,1.63,0.0
191,196608,-0.014199987053871155,1.42,0.0
192,197632,-0.09459998667240142,1.46,0.0
193,198656,-0.1355999857187271,1.56,0.0
194,199680,-0.1955999857187271,1.56,0.0
195,200704,0.14460001349449159,1.54,0.0
196,201728,0.18500001311302186,1.5,0.0
197,202752,0.04390001475811005,1.61,0.0
198,203776,0.004600014686584473,1.54,0.0
199,204800,-0.11489998638629913,1.49,0.0
