update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,-0.09599998533725738,1.6,0.0
1,2048,-0.054899986386299136,1.49,0.0
2,3072,0.06520001411437988,1.48,0.0
3,4096,0.06480001449584961,1.52,0.0
4,5120,0.004100014567375183,1.59,0.0
5,6144,-0.0949999862909317,1.5,0.0
6,7168,0.00480001449584961,1.52,0.0
7,8192,-0.07599998533725738,1.6,0.0
8,9216,-0.07789998352527619,1.79,0.0
9,10240,-0.016899985671043397,1.69,0.0
10,11264,-0.07509998619556427,1.51,0.0
11,12288,0.005900012850761413,1.41,0.0
12,13312,-0.05469998598098755,1.47,0.0
13,14336,0.003100014925003052,1.69,0.0
14,15360,-0.034899985790252684,1.49,0.0
15,16384,0.10370001554489136,1.63,0.0
16,17408,-0.016499986648559572,1.65,0.0
17,18432,-0.09569998562335968,1.57,0.0
18,19456,-0.15559998512268067,1.56,0.0
19,20480,0.0836000144481659,1.64,0.0
20,21504,-0.03679998517036438,1.68,0.0
21,22528,0.14330001473426818,1.67,0.0
22,23552,-0.15599998474121093,1.6,0.0
23,24576,0.005100014209747314,1.49,0.0
24,25600,-0.19429998636245727,1.43,0.0
25,26624,-0.13549998581409453,1.55,0.0
26,27648,-0.29589998483657837,1.59,0.0
27,28672,-0.03469998598098755,1.47,0.0
28,29696,0.14320001602172852,1.68,0.0
29,30720,-0.15589998483657838,1.59,0.0
30,31744,-0.1551999855041504,1.52,0.0
31,32768,0.1256000131368637,1.44,0.0
32,33792,0.08460001409053802,1.54,0.0
33,34816,-0.057199984192848205,1.72,0.0
34,35840,0.10500001430511474,1.5,0.0
35,36864,-0.015899984836578368,1.59,0.0
36,37888,-0.03569998502731323,1.57,0.0
37,38912,-0.23509998559951784,1.51,0.0
38,39936,-0.05519998550415039,1.52,0.0
39,40960,0.20460001468658448,1.54,0.0
40,41984,-0.21499998569488527,1.5,0.0
41,43008,0.08490001440048217,1.51,0.0
42,44032,-0.17559998512268066,1.56,0.0
43,45056,-0.07569998741149903,1.57,0.0
44,46080,-0.1760999846458435,1.61,0.0
45,47104,-0.19529998540878296,1.53,0.0
46,48128,-0.09479998648166657,1.48,0.0
47,49152,0.006200013160705567,1.38,0.0
48,50176,-0.014799986481666565,1.48,0.0
49,51200,-0.01519998550415039,1.52,0.0
50,52224,-0.03489998638629913,1.49,0.0
51,53248,-0.074699986577034,1.47,0.0
52,54272,-0.014099986553192138,1.41,0.0
53,55296,-0.1751999855041504,1.52,0.0
54,56320,-0.07599998533725738,1.6,0.0
55,57344,0.06430001497268677,1.57,0.0
56,58368,0.1242000138759613,1.58,0.0
57,59392,-0.03619998514652252,1.62,0.0
58,60416,-0.09509998559951782,1.51,0.0
59,61440,-0.0960999858379364,1.61,0.0
60,62464,0.024500014781951903,1.55,0.0
61,63488,-0.1542999863624573,1.43,0.0
62,64512,-0.1355999857187271,1.56,0.0
63,65536,-0.03529998540878296,1.53,0.0
64,66560,-0.09519998669624329,1.52,0.0
65,67584,-0.17429998636245728,1.43,0.0
66,68608,0.0037000155448913574,1.63,0.0
67,69632,0.0856000131368637,1.44,0.0
68,70656,-0.07459998607635498,1.46,0.0
69,71680,-0.07669998466968536,1.67,0.0
70,72704,-0.11569998562335967,1.57,0.0
71,73728,-0.03459998607635498,1.46,0.0
72,74752,0.08430001497268677,1.57,0.0
73,75776,-0.01459998607635498,1.46,0.0
74,76800,-0.015399985313415528,1.54,0.0
75,77824,-0.21549998521804808,1.55,0.0
76,78848,-0.053999987244606015,1.4,0.0
77,79872,0.02650001287460327,1.35,0.0
78,80896,0.08530001401901245,1.47,0.0
79,81920,-0.01459998607635498,1.46,0.0
80,82944,0.065300013422966,1.47,0.0
81,83968,-0.05619998574256897,1.62,0.0
82,84992,0.10470001459121704,1.53,0.0
83,86016,-0.11479998588562011,1.48,0.0
84,87040,-0.03519998550415039,1.52,0.0
85,88064,-0.09479998707771302,1.48,0.0
86,89088,-0.07559998631477356,1.56,0.0
87,90112,-0.015399985313415528,1.54,0.0
88,91136,0.0052000141143798825,1.48,0.0
89,92160,-0.11529998540878296,1.53,0.0
90,93184,-0.07709998428821564,1.71,0.0
91,94208,0.08510001361370087,1.49,0.0
92,95232,-0.0171999853849411,1.72,0.0
93,96256,-0.07359998703002929,1.36,0.0
94,97280,0.08560001254081726,1.44,0.0
95,98304,-0.1551999855041504,1.52,0.0
96,99328,-0.05529998540878296,1.53,0.0
97,100352,-0.034999987483024596,1.5,0.0
98,101376,-0.11429998636245728,1.43,0.0
99,102400,-0.034399986267089844,1.44,0.0
100,103424,0.04380001485347748,1.62,0.0
101,104448,-0.034899985790252684,1.49,0.0
102,105472,0.12460001409053803,1.54,0.000244140625
103,106496,-0.09399998664855957,1.4,0.0
104,107520,-0.054499986171722414,1.45,0.0
105,108544,0.006900012493133545,1.31,0.0
106,109568,0.08510001420974732,1.49,0.0
107,110592,-0.09539998531341552,1.54,0.0009765625
108,111616,-0.05439998626708984,1.44,0.0
109,112640,0.004900014400482178,1.51,0.0
110,113664,0.1867000126838684,1.33,0.0
111,114688,-0.19499998569488525,1.5,0.0
112,115712,-0.07359998703002929,1.36,0.0
113,116736,-0.037099984288215634,1.71,0.0
114,117760,-0.014299986362457275,1.43,0.001220703125
115,118784,0.00430001437664032,1.57,0.00048828125
116,119808,-0.23559998571872712,1.56,0.001220703125
117,120832,0.0645000147819519,1.55,0.00146484375
118,121856,-0.09459998667240142,1.46,0.000732421875
119,122880,0.045000013709068296,1.5,0.00146484375
120,123904,0.006300013065338134,1.37,0.0078125
121,124928,0.06460001468658447,1.54,0.0029296875
122,125952,-0.07499998569488525,1.5,0.00341796875
123,126976,0.004700013995170593,1.53,0.001220703125
124,128000,0.004000014662742615,1.6,0.00390625
125,129024,0.1245000147819519,1.55,0.007080078125
126,130048,0.14490001440048217,1.51,0.007568359375
127,131072,0.004600014686584473,1.54,0.002685546875
128,132096,-0.05469998598098755,1.47,0.00048828125
129,133120,-0.035299986004829406,1.53,0.00146484375
130,134144,-0.07409998655319214,1.41,0.0048828125
131,135168,-0.053799986839294434,1.38,0.001708984375
132,136192,0.00600001335144043,1.4,0.000732421875
133,137216,0.005400013923645019,1.46,0.001220703125
134,138240,0.025600013732910157,1.44,0.001708984375
135,139264,-0.09459998607635497,1.46,0.002685546875
136,140288,-0.15499998569488527,1.5,0.002197265625
137,141312,0.12590001344680787,1.41,0.005126953125
138,142336,0.10540001332759857,1.46,0.007080078125
139,143360,-0.09529998540878296,1.53,0.00146484375
140,144384,-0.09449998617172241,1.45,0.000732421875
141,145408,-0.013599987030029298,1.36,0.0029296875
142,146432,-0.13539998590946198,1.54,0.00439453125
143,147456,0.12620001256465913,1.38,0.002685546875
144,148480,-0.13479998588562012,1.48,0.0029296875
145,149504,0.086100013256073,1.39,0.00146484375
146,150528,-0.05309998750686645,1.31,0.00537109375
147,151552,0.04490001440048218,1.51,0.0029296875
148,152576,0.10590001344680786,1.41,0.015869140625
149,153600,0.18380001485347747,1.62,0.002685546875
150,154624,0.0052000141143798825,1.48,0.00146484375
151,155648,0.0046000140905380245,1.54,0.005615234375
152,156672,0.005700013637542725,1.43,0.000244140625
153,157696,0.16430001437664032,1.57,0.007080078125
154,158720,0.12550001382827758,1.45,0.00146484375
155,159744,0.146100013256073,1.39,0.0048828125
156,160768,0.1464000129699707,1.36,0.001708984375
157,161792,0.18590001344680787,1.41,0.004638671875
158,162816,0.24600001335144042,1.4,0.002685546875
159,163840,0.22380001425743104,1.62,0.003173828125
160,164864,0.24640001296997072,1.36,0.000732421875
161,165888,0.06580001294612885,1.42,0.00048828125
162,166912,0.283700013756752,1.63,0.0029296875
163,167936,0.0059000134468078615,1.41,0.004638671875
164,168960,0.005200012922286988,1.48,0.005615234375
165,169984,0.20420001447200775,1.58,0.004150390625
166,171008,0.12600001335144043,1.4,0.0068359375
167,172032,0.32710001230239866,1.29,0.001708984375
168,173056,0.025000012516975402,1.5,0.004150390625
169,174080,-0.05459998607635498,1.46,0.005126953125
170,175104,0.22560001373291017,1.44,0.002685546875
171,176128,0.12630001306533814,1.37,0.00390625
172,177152,0.10530001342296601,1.47,0.00439453125
173,178176,0.04550001382827759,1.45,0.000732421875
174,179200,0.08500001430511475,1.5,0.00341796875
175,180224,-0.17439998626708986,1.44,0.002197265625
176,181248,0.16590001344680785,1.41,0.01025390625
177,182272,0.12440001487731933,1.56,0.003662109375
178,183296,0.18560001373291016,1.44,0.000732421875
179,184320,0.1858000135421753,1.42,0.003173828125
180,185344,0.06740001201629639,1.26,0.001220703125
181,186368,0.16520001351833344,1.48,0.00146484375
182,187392,-0.013799986839294433,1.38,0.001953125
183,188416,0.024800013899803162,1.52,0.0009765625
184,189440,0.18660001277923585,1.34,0.006103515625
185,190464,0.18600001335144042,1.4,0.009765625
186,191488,0.26670001208782196,1.33,0.005126953125
187,192512,0.16650001287460328,1.35,0.00390625
188,193536,0.3460000133514404,1.4,0.002685546875
189,194560,0.005800013542175293,1.42,0.00244140625
