update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.14,1.56,0.058349609375
1,2048,0.22,1.71,0.052001953125
2,3072,0.14,1.62,0.039794921875
3,4096,0.32,1.65,0.036376953125
4,5120,0.4,1.53,0.0361328125
5,6144,0.24,1.59,0.044677734375
6,7168,0.36,1.37,0.04638671875
7,8192,0.24,1.31,0.0283203125
8,9216,0.48,1.3,0.02734375
9,10240,0.4,1.52,0.03173828125
10,11264,0.36,1.32,0.03076171875
11,12288,0.4,1.49,0.028564453125
12,13312,0.38,1.23,0.0419921875
13,14336,0.32,1.51,0.029296875
14,15360,0.38,1.32,0.021728515625
15,16384,0.54,1.2,0.021240234375
16,17408,0.38,1.24,0.025146484375
17,18432,0.36,1.16,0.022216796875
18,19456,0.48,1.24,0.025390625
19,20480,0.4,1.26,0.0263671875
20,21504,0.42,1.39,0.02978515625
21,22528,0.44,1.25,0.017578125
22,23552,0.34,1.24,0.016357421875
23,24576,0.42,1.32,0.031005859375
24,25600,0.46,1.28,0.021484375
25,26624,0.56,1.28,0.030029296875
26,27648,0.56,1.34,0.02392578125
27,28672,0.54,1.4,0.038330078125
28,29696,0.36,1.31,0.047607421875
29,30720,0.3,1.25,0.030517578125
30,31744,0.5,1.29,0.0234375
31,32768,0.46,1.27,0.029052734375
32,33792,0.3,1.27,0.0361328125
33,34816,0.56,1.29,0.0322265625
34,35840,0.44,1.12,0.029541015625
35,36864,0.46,1.27,0.021240234375
36,37888,0.62,1.21,0.023193359375
37,38912,0.46,1.17,0.02392578125
38,39936,0.46,1.17,0.020751953125
39,40960,0.42,1.22,0.028076171875
40,41984,0.6,1.21,0.02392578125
41,43008,0.4,1.09,0.029541015625
42,44032,0.36,1.16,0.022216796875
43,45056,0.46,1.24,0.03515625
44,46080,0.48,1.22,0.041259765625
45,47104,0.42,1.29,0.029296875
46,48128,0.46,1.24,0.02490234375
47,49152,0.44,1.28,0.012451171875
48,50176,0.58,1.17,0.015380859375
49,51200,0.34,1.22,0.03173828125
50,52224,0.56,1.26,0.045654296875
51,53248,0.46,1.21,0.047119140625
52,54272,0.42,1.15,0.0205078125
53,55296,0.48,1.2,0.0361328125
54,56320,0.22,1.28,0.03759765625
55,57344,0.56,1.2,0.029052734375
56,58368,0.4,1.28,0.035888671875
57,59392,0.32,1.22,0.025390625
58,60416,0.58,1.18,0.022216796875
59,61440,0.34,1.11,0.02294921875
60,62464,0.6,1.17,0.02783203125
61,63488,0.5,1.26,0.026611328125
62,64512,0.32,1.42,0.026611328125
63,65536,0.5,1.13,0.02197265625
64,66560,0.6,1.25,0.030029296875
65,67584,0.54,1.16,0.03125
66,68608,0.48,1.23,0.0322265625
67,69632,0.44,1.16,0.02294921875
68,70656,0.56,1.13,0.02783203125
69,71680,0.56,1.36,0.031982421875
70,72704,0.66,1.19,0.032958984375
71,73728,0.46,1.2,0.032958984375
72,74752,0.46,1.29,0.02490234375
73,75776,0.38,1.18,0.025390625
74,76800,0.44,1.37,0.028564453125
75,77824,0.5,1.13,0.033447265625
76,78848,0.48,1.16,0.026611328125
77,79872,0.5,1.25,0.02392578125
78,80896,0.34,1.22,0.02099609375
79,81920,0.66,1.29,0.03125
80,82944,0.42,1.16,0.019287109375
81,83968,0.46,1.17,0.027587890625
82,84992,0.54,1.25,0.02490234375
83,86016,0.56,1.22,0.023681640625
84,87040,0.5,1.32,0.029052734375
85,88064,0.6,1.2,0.03125
86,89088,0.5,1.19,0.023193359375
87,90112,0.58,1.11,0.025390625
88,91136,0.54,1.15,0.02587890625
89,92160,0.46,1.27,0.0146484375
90,93184,0.5,1.13,0.017578125
91,94208,0.64,1.17,0.024658203125
92,95232,0.38,1.14,0.02001953125
93,96256,0.6,1.15,0.027099609375
94,97280,0.44,1.26,0.02734375
95,98304,0.3,1.15,0.019287109375
96,99328,0.54,1.2,0.0400390625
97,100352,0.46,1.13,0.034912109375
98,101376,0.54,1.22,0.025634765625
99,102400,0.36,1.23,0.0380859375
100,103424,0.58,1.25,0.03173828125
101,104448,0.66,1.2,0.02734375
102,105472,0.38,1.28,0.041259765625
103,106496,0.64,1.17,0.0224609375
104,107520,0.4,1.16,0.01806640625
105,108544,0.4,1.11,0.025634765625
106,109568,0.58,1.17,0.0322265625
107,110592,0.5,1.19,0.023681640625
108,111616,0.54,1.18,0.031494140625
109,112640,0.52,1.16,0.026611328125
110,113664,0.44,1.17,0.0234375
111,114688,0.6,1.18,0.026611328125
112,115712,0.54,1.16,0.022705078125
113,116736,0.64,1.14,0.022216796875
114,117760,0.56,1.07,0.03662109375
115,118784,0.48,1.2,0.029052734375
116,119808,0.64,1.09,0.029541015625
117,120832,0.48,1.13,0.03076171875
118,121856,0.52,1.13,0.025390625
119,122880,0.54,1.04,0.021484375
120,123904,0.46,1.09,0.0146484375
121,124928,0.5,1.01,0.009521484375
122,125952,0.52,1.06,0.01416015625
123,126976,0.7,1.03,0.028076171875
124,128000,0.6,1.07,0.018310546875
125,129024,0.56,1.04,0.014892578125
126,130048,0.46,1.08,0.017333984375
127,131072,0.42,1.04,0.02197265625
