update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,-0.02,1.51,0.000244140625
1,2048,-0.14,1.46,0.0
2,3072,0.12,1.45,0.0
3,4096,-0.08,1.51,0.000244140625
4,5120,0.02,1.52,0.0
5,6144,-0.14,1.45,0.0
6,7168,-0.04,1.46,0.000244140625
7,8192,-0.02,1.54,0.0009765625
8,9216,-0.02,1.68,0.0009765625
9,10240,-0.02,1.56,0.000732421875
10,11264,-0.02,1.44,0.00146484375
11,12288,0.02,1.39,0.002197265625
12,13312,-0.04,1.37,0.003173828125
13,14336,0.02,1.46,0.005126953125
14,15360,0.12,1.37,0.01220703125
15,16384,0.18,1.5,0.0087890625
16,17408,0.12,1.5,0.01416015625
17,18432,0.06,1.39,0.01611328125
18,19456,0.18,1.4,0.01904296875
19,20480,0.12,1.42,0.018798828125
20,21504,0.32,1.38,0.015380859375
21,22528,0.38,1.29,0.014892578125
22,23552,0.28,1.31,0.014404296875
23,24576,0.32,1.3,0.020263671875
24,25600,0.32,1.31,0.011474609375
25,26624,0.2,1.33,0.01708984375
26,27648,0.38,1.31,0.0185546875
27,28672,0.08,1.27,0.014892578125
28,29696,0.34,1.22,0.01220703125
29,30720,0.38,1.24,0.01025390625
30,31744,0.4,1.21,0.0146484375
31,32768,0.38,1.21,0.016845703125
32,33792,0.46,1.18,0.0166015625
33,34816,0.38,1.31,0.010009765625
34,35840,0.44,1.13,0.01171875
35,36864,0.52,1.26,0.015380859375
36,37888,0.32,1.21,0.017333984375
37,38912,0.46,1.22,0.014404296875
38,39936,0.24,1.23,0.013916015625
39,40960,0.4,1.22,0.015625
40,41984,0.62,1.15,0.0166015625
41,43008,0.38,1.17,0.010498046875
42,44032,0.38,1.2,0.019287109375
43,45056,0.2,1.24,0.02001953125
44,46080,0.22,1.23,0.0185546875
45,47104,0.44,1.24,0.014892578125
46,48128,0.36,1.22,0.0166015625
47,49152,0.4,1.14,0.01708984375
48,50176,0.52,1.19,0.01611328125
49,51200,0.48,1.18,0.02001953125
50,52224,0.66,1.12,0.015869140625
51,53248,0.52,1.13,0.013916015625
52,54272,0.46,1.11,0.011962890625
53,55296,0.38,1.24,0.0185546875
54,56320,0.42,1.08,0.020263671875
55,57344,0.5,1.14,0.016357421875
56,58368,0.5,1.25,0.014404296875
57,59392,0.4,1.27,0.015380859375
