update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.21310000658035277,1.38,0.0
1,2048,0.03255000710487366,1.49,0.000244140625
2,3072,0.052550007104873654,1.49,0.0
3,4096,-0.007249993085861206,1.45,0.0
4,5120,-0.027149993181228637,1.43,0.0
5,6144,-0.06714999318122863,1.43,0.0
6,7168,0.1327500069141388,1.45,0.0
7,8192,0.09325000643730164,1.35,0.000732421875
8,9216,-0.007199993133544922,1.44,0.002685546875
9,10240,-0.00764999270439148,1.53,0.00146484375
10,11264,0.31265000700950624,1.47,0.00244140625
11,12288,0.09345000624656677,1.31,0.00341796875
12,13312,0.21290000677108764,1.42,0.007568359375
13,14336,0.1730000066757202,1.4,0.005615234375
14,15360,0.1330000066757202,1.4,0.01220703125
15,16384,-0.027099993228912354,1.42,0.012451171875
16,17408,0.033200006484985355,1.36,0.01953125
17,18432,0.27285000681877136,1.43,0.01611328125
18,19456,0.17365000605583192,1.27,0.013427734375
19,20480,0.21375000596046448,1.25,0.01611328125
20,21504,0.15345000624656677,1.31,0.019287109375
21,22528,0.25320000648498536,1.36,0.017822265625
22,23552,0.17355000615119934,1.29,0.024169921875
23,24576,0.25385000586509704,1.23,0.030029296875
24,25600,0.3738000059127808,1.24,0.022216796875
25,26624,0.4136000061035156,1.28,0.016845703125
26,27648,0.41330000638961795,1.34,0.017822265625
27,28672,0.39390000581741336,1.22,0.017822265625
28,29696,0.3937000060081482,1.26,0.014404296875
29,30720,0.37345000624656677,1.31,0.01708984375
30,31744,0.41400000572204587,1.2,0.013671875
31,32768,0.5340500056743622,1.19,0.013671875
32,33792,0.37385000586509703,1.23,0.020263671875
33,34816,0.1934000062942505,1.32,0.0146484375
34,35840,0.3140000057220459,1.2,0.016357421875
35,36864,0.39360000610351564,1.28,0.010986328125
36,37888,0.5340500056743622,1.19,0.01123046875
37,38912,0.29420000553131104,1.16,0.020263671875
38,39936,0.19420000553131103,1.16,0.00830078125
39,40960,0.33380000591278075,1.24,0.017578125
40,41984,0.3337500059604645,1.25,0.013916015625
41,43008,0.3540000057220459,1.2,0.01611328125
42,44032,0.25420000553131106,1.16,0.012939453125
43,45056,0.4940500056743622,1.19,0.0224609375
44,46080,0.27350000619888304,1.3,0.018798828125
45,47104,0.23350000619888306,1.3,0.019287109375
46,48128,0.41320000648498534,1.36,0.01806640625
47,49152,0.3933500063419342,1.33,0.01708984375
48,50176,0.4743500053882599,1.13,0.017578125
49,51200,0.3933500063419342,1.33,0.024169921875
50,52224,0.4133500063419342,1.33,0.01953125
51,53248,0.39405000567436216,1.19,0.0146484375
52,54272,0.3929500067234039,1.41,0.023681640625
53,55296,0.3343500053882599,1.13,0.0205078125
54,56320,0.27330000638961793,1.34,0.012939453125
55,57344,0.5139500057697296,1.21,0.013916015625
56,58368,0.4141000056266785,1.18,0.0146484375
57,59392,0.2739000058174133,1.22,0.02490234375
58,60416,0.3739500057697296,1.21,0.013671875
59,61440,0.3339000058174133,1.22,0.011474609375
60,62464,0.23380000591278077,1.24,0.021728515625
61,63488,0.4940500056743622,1.19,0.01220703125
62,64512,0.2740000057220459,1.2,0.019287109375
63,65536,0.49415000557899474,1.17,0.0146484375
64,66560,0.41455000519752505,1.09,0.00927734375
65,67584,0.41425000548362734,1.15,0.01904296875
66,68608,0.37415000557899475,1.17,0.01806640625
67,69632,0.4143500053882599,1.13,0.019775390625
68,70656,0.5343000054359436,1.14,0.010986328125
69,71680,0.39410000562667846,1.18,0.019287109375
70,72704,0.37465000510215757,1.07,0.01123046875
71,73728,0.5741000056266785,1.18,0.01220703125
72,74752,0.4545000052452087,1.1,0.016357421875
73,75776,0.5743500053882599,1.13,0.018310546875
74,76800,0.6141000056266784,1.18,0.014404296875
75,77824,0.41420000553131103,1.16,0.01171875
76,78848,0.39455000519752503,1.09,0.020263671875
77,79872,0.454200005531311,1.16,0.017822265625
78,80896,0.37450000524520877,1.1,0.01708984375
79,81920,0.4946000051498413,1.08,0.009521484375
80,82944,0.33455000519752504,1.09,0.009765625
81,83968,0.39435000538825987,1.13,0.021484375
82,84992,0.7146500051021576,1.07,0.01953125
83,86016,0.43445000529289246,1.11,0.01220703125
84,87040,0.4544000053405762,1.12,0.01220703125
85,88064,0.4144000053405762,1.12,0.0185546875
86,89088,0.49445000529289246,1.11,0.013916015625
87,90112,0.5143000054359436,1.14,0.015869140625
88,91136,0.5946500051021576,1.07,0.01513671875
89,92160,0.5547500050067902,1.05,0.021728515625
90,93184,0.5747500050067902,1.05,0.037841796875
91,94208,0.5948000049591065,1.04,0.0146484375
92,95232,0.39480000495910644,1.04,0.010498046875
93,96256,0.5144500052928924,1.11,0.014892578125
94,97280,0.5144000053405762,1.12,0.017578125
95,98304,0.41480000495910646,1.04,0.007080078125
96,99328,0.5546000051498413,1.08,0.008544921875
97,100352,0.4547000050544739,1.06,0.010986328125
98,101376,0.35470000505447385,1.06,0.02197265625
99,102400,0.25440000534057616,1.12,0.0146484375
100,103424,0.49440000534057615,1.12,0.012451171875
101,104448,0.4546500051021576,1.07,0.00830078125
102,105472,0.3747000050544739,1.06,0.025634765625
103,106496,0.5348500049114228,1.03,0.025390625
104,107520,0.35480000495910646,1.04,0.02099609375
105,108544,0.3944500052928925,1.11,0.015380859375
106,109568,0.35480000495910646,1.04,0.016845703125
107,110592,0.2747000050544739,1.06,0.01025390625
108,111616,0.35470000505447385,1.06,0.01708984375
109,112640,0.4347500050067902,1.05,0.013916015625
110,113664,0.614900004863739,1.02,0.016357421875
111,114688,0.5546000051498413,1.08,0.0126953125
112,115712,0.4546500051021576,1.07,0.008544921875
113,116736,0.47470000505447385,1.06,0.0078125
114,117760,0.4348000049591064,1.04,0.012451171875
115,118784,0.3949500048160553,1.01,0.012939453125
116,119808,0.4149500048160553,1.01,0.00732421875
117,120832,0.33475000500679014,1.05,0.013671875
118,121856,0.4546500051021576,1.07,0.016357421875
119,122880,0.5946000051498413,1.08,0.0068359375
120,123904,0.45475000500679014,1.05,0.0146484375
121,124928,0.47475000500679015,1.05,0.010498046875
122,125952,0.454900004863739,1.02,0.01220703125
123,126976,0.43490000486373903,1.02,0.01611328125
124,128000,0.37490000486373903,1.02,0.0146484375
125,129024,0.5749500048160553,1.01,0.0107421875
126,130048,0.4549500048160553,1.01,0.0087890625
127,131072,0.45485000491142275,1.03,0.015869140625
128,132096,0.6748500049114228,1.03,0.00634765625
129,133120,0.534900004863739,1.02,0.01318359375
130,134144,0.27485000491142275,1.03,0.00830078125
131,135168,0.6348500049114227,1.03,0.011474609375
132,136192,0.5548500049114228,1.03,0.015625
133,137216,0.554900004863739,1.02,0.01953125
134,138240,0.5749500048160553,1.01,0.020263671875
135,139264,0.6748000049591064,1.04,0.013671875
136,140288,0.5549500048160553,1.01,0.017333984375
137,141312,0.47500000476837156,1.0,0.0185546875
138,142336,0.454900004863739,1.02,0.021728515625
139,143360,0.5550000047683716,1.0,0.01806640625
140,144384,0.5949500048160553,1.01,0.0087890625
141,145408,0.45480000495910644,1.04,0.00732421875
142,146432,0.4349500048160553,1.01,0.007568359375
143,147456,0.4549500048160553,1.01,0.01220703125
144,148480,0.35500000476837157,1.0,0.013671875
145,149504,0.4949500048160553,1.01,0.011962890625
146,150528,0.3350000047683716,1.0,0.011962890625
147,151552,0.2750000047683716,1.0,0.013916015625
148,152576,0.5149500048160554,1.01,0.020263671875
149,153600,0.3548500049114227,1.03,0.01025390625
150,154624,0.4550000047683716,1.0,0.009765625
151,155648,0.3549500048160553,1.01,0.0078125
152,156672,0.5949000048637391,1.02,0.0107421875
153,157696,0.5150000047683716,1.0,0.00830078125
154,158720,0.414900004863739,1.02,0.01708984375
155,159744,0.5750000047683715,1.0,0.009033203125
156,160768,0.6349500048160553,1.01,0.0126953125
157,161792,0.6150000047683716,1.0,0.01025390625
158,162816,0.5550000047683716,1.0,0.013427734375
159,163840,0.4148500049114227,1.03,0.015380859375
160,164864,0.5749500048160553,1.01,0.011474609375
161,165888,0.5149500048160554,1.01,0.0166015625
162,166912,0.4948500049114227,1.03,0.009765625
163,167936,0.43490000486373903,1.02,0.008544921875
164,168960,0.5349500048160553,1.01,0.00634765625
165,169984,0.3749500048160553,1.01,0.013916015625
166,171008,0.614900004863739,1.02,0.008056640625
167,172032,0.4149500048160553,1.01,0.01220703125
168,173056,0.5550000047683716,1.0,0.0107421875
169,174080,0.4550000047683716,1.0,0.016845703125
170,175104,0.6550000047683716,1.0,0.00439453125
171,176128,0.5750000047683715,1.0,0.008544921875
172,177152,0.4550000047683716,1.0,0.0107421875
173,178176,0.4350000047683716,1.0,0.014404296875
174,179200,0.6150000047683716,1.0,0.010498046875
175,180224,0.5750000047683715,1.0,0.005615234375
176,181248,0.4950000047683716,1.0,0.013427734375
177,182272,0.5550000047683716,1.0,0.013427734375
178,183296,0.6349500048160553,1.01,0.017333984375
179,184320,0.47500000476837156,1.0,0.01904296875
180,185344,0.6950000047683715,1.0,0.01025390625
181,186368,0.6350000047683716,1.0,0.02001953125
182,187392,0.4950000047683716,1.0,0.012451171875
183,188416,0.4949500048160553,1.01,0.010498046875
184,189440,0.5950000047683716,1.0,0.013916015625
185,190464,0.5550000047683716,1.0,0.007568359375
186,191488,0.6150000047683716,1.0,0.00830078125
187,192512,0.4949500048160553,1.01,0.01953125
188,193536,0.6949500048160553,1.01,0.01025390625
189,194560,0.5949500048160553,1.01,0.019287109375
190,195584,0.6149500048160553,1.01,0.01171875
191,196608,0.5749500048160553,1.01,0.018310546875
192,197632,0.6150000047683716,1.0,0.006103515625
193,198656,0.6350000047683716,1.0,0.01220703125
194,199680,0.5350000047683716,1.0,0.012451171875
195,200704,0.41500000476837157,1.0,0.00927734375
196,201728,0.7150000047683716,1.0,0.013916015625
197,202752,0.6949500048160553,1.01,0.010986328125
198,203776,0.5149500048160554,1.01,0.013671875
199,204800,0.474900004863739,1.02,0.009521484375
200,205824,0.4749500048160553,1.01,0.009521484375
201,206848,0.4950000047683716,1.0,0.0048828125
202,207872,0.5750000047683715,1.0,0.00634765625
203,208896,0.6349500048160553,1.01,0.013671875
204,209920,0.5350000047683716,1.0,0.00732421875
205,210944,0.6950000047683715,1.0,0.012451171875
206,211968,0.3749500048160553,1.01,0.015625
207,212992,0.6149500048160553,1.01,0.012451171875
208,214016,0.4549500048160553,1.01,0.00634765625
209,215040,0.6150000047683716,1.0,0.010009765625
210,216064,0.5150000047683716,1.0,0.00634765625
211,217088,0.5949500048160553,1.01,0.01025390625
212,218112,0.6349500048160553,1.01,0.007080078125
213,219136,0.5749500048160553,1.01,0.0087890625
214,220160,0.47500000476837156,1.0,0.0078125
215,221184,0.5350000047683716,1.0,0.00927734375
216,222208,0.5750000047683715,1.0,0.014892578125
