update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.3056000137329102,1.44,0.017333984375
1,2048,0.20680001199245454,1.32,0.010498046875
2,3072,0.2667000126838684,1.33,0.010009765625
3,4096,0.24590001344680787,1.41,0.01171875
4,5120,0.4062000131607056,1.38,0.009033203125
5,6144,0.28720001220703123,1.28,0.010498046875
6,7168,0.3849000132083893,1.51,0.0087890625
7,8192,0.48710001170635225,1.29,0.015380859375
8,9216,0.266000012755394,1.4,0.01171875
9,10240,0.4859000134468079,1.41,0.0146484375
10,11264,0.5055000126361847,1.45,0.019287109375
11,12288,0.5063000130653381,1.37,0.011962890625
12,13312,0.4064000129699707,1.36,0.01806640625
13,14336,0.4451000130176544,1.49,0.009765625
14,15360,0.42550001382827757,1.45,0.0263671875
15,16384,0.48460001409053804,1.54,0.022705078125
16,17408,0.30600001335144045,1.4,0.022705078125
17,18432,0.42590001344680783,1.41,0.01416015625
18,19456,0.4856000137329102,1.44,0.013671875
19,20480,0.40480001211166383,1.52,0.01611328125
20,21504,0.34440001308918,1.56,0.011474609375
21,22528,0.4661000120639801,1.39,0.01904296875
22,23552,0.3249000132083893,1.51,0.020751953125
23,24576,0.4662000131607056,1.38,0.019287109375
24,25600,0.32610001266002653,1.39,0.015869140625
25,26624,0.5654000133275986,1.46,0.019775390625
26,27648,0.42650001287460326,1.35,0.021484375
27,28672,0.485400013923645,1.46,0.023193359375
28,29696,0.5466000127792359,1.34,0.02685546875
29,30720,0.4448000121116638,1.52,0.0478515625
30,31744,0.4266000121831894,1.34,0.016357421875
31,32768,0.465300013422966,1.47,0.028076171875
32,33792,0.48720001220703124,1.28,0.02392578125
33,34816,0.6264000129699707,1.36,0.01513671875
34,35840,0.465300013422966,1.47,0.032470703125
35,36864,0.46540001332759856,1.46,0.030517578125
36,37888,0.42470001459121703,1.53,0.027587890625
37,38912,0.5254000133275986,1.46,0.018798828125
38,39936,0.4072000116109848,1.28,0.026611328125
39,40960,0.5467000120878219,1.33,0.019287109375
40,41984,0.5656000125408173,1.44,0.026123046875
41,43008,0.5065000128746032,1.35,0.017822265625
42,44032,0.2651000136137009,1.49,0.017578125
43,45056,0.6450000125169754,1.5,0.025146484375
44,46080,0.6072000122070312,1.28,0.023193359375
45,47104,0.48590001225471496,1.41,0.01416015625
46,48128,0.5860000121593475,1.4,0.0283203125
47,49152,0.36690001249313353,1.31,0.030029296875
48,50176,0.5658000117540359,1.42,0.028564453125
49,51200,0.5271000123023987,1.29,0.020751953125
50,52224,0.4262000125646591,1.38,0.02294921875
51,53248,0.4258000135421753,1.42,0.0224609375
52,54272,0.5441000139713288,1.59,0.03076171875
53,55296,0.5051000130176544,1.49,0.0322265625
54,56320,0.5052000111341477,1.48,0.024169921875
55,57344,0.3263000124692917,1.37,0.03271484375
56,58368,0.4464000117778778,1.36,0.02197265625
57,59392,0.6256000131368638,1.44,0.031005859375
58,60416,0.4070000123977661,1.3,0.032470703125
59,61440,0.4843000137805939,1.57,0.03955078125
60,62464,0.5654000127315522,1.46,0.024658203125
61,63488,0.6050000131130219,1.5,0.027587890625
62,64512,0.4447000139951706,1.53,0.031005859375
63,65536,0.5073000115156173,1.27,0.03271484375
64,66560,0.6264000129699707,1.36,0.0390625
65,67584,0.5440000140666962,1.6,0.0361328125
66,68608,0.5064000123739243,1.36,0.039306640625
67,69632,0.5675000113248825,1.25,0.029541015625
68,70656,0.4454000127315521,1.46,0.0390625
69,71680,0.5661000126600265,1.39,0.0361328125
70,72704,0.7661000126600266,1.39,0.018310546875
71,73728,0.6458000123500824,1.42,0.03076171875
72,74752,0.6080000114440918,1.2,0.030029296875
73,75776,0.3863000124692917,1.37,0.02880859375
74,76800,0.5058000129461289,1.42,0.0390625
75,77824,0.5253000128269195,1.47,0.0341796875
76,78848,0.6469000124931336,1.31,0.027099609375
77,79872,0.6449000126123429,1.51,0.027587890625
78,80896,0.48620001316070555,1.38,0.0263671875
79,81920,0.4859000134468079,1.41,0.02685546875
80,82944,0.446800012588501,1.32,0.0263671875
81,83968,0.7078000116348266,1.22,0.026611328125
82,84992,0.5464000123739242,1.36,0.04150390625
83,86016,0.5250000113248825,1.5,0.033203125
84,87040,0.44640001118183137,1.36,0.030029296875
85,88064,0.5455000126361846,1.45,0.025634765625
86,89088,0.6252000123262406,1.48,0.032958984375
87,90112,0.5060000121593475,1.4,0.037841796875
88,91136,0.5664000129699707,1.36,0.035888671875
89,92160,0.7260000115633011,1.4,0.035888671875
90,93184,0.4466000121831894,1.34,0.039306640625
91,94208,0.506600011587143,1.34,0.0302734375
92,95232,0.4074000120162964,1.26,0.029052734375
93,96256,0.585800011754036,1.42,0.022705078125
94,97280,0.4470000123977661,1.3,0.028564453125
95,98304,0.6667000126838684,1.33,0.029541015625
96,99328,0.6071000117063522,1.29,0.029541015625
97,100352,0.40580001294612883,1.42,0.02978515625
98,101376,0.667500011920929,1.25,0.03564453125
99,102400,0.5267000120878219,1.33,0.03125
100,103424,0.6085000109672546,1.15,0.018798828125
101,104448,0.526000012755394,1.4,0.02685546875
102,105472,0.4877000117301941,1.23,0.02734375
103,106496,0.4457000124454498,1.43,0.032958984375
104,107520,0.7075000113248825,1.25,0.041748046875
105,108544,0.4276000118255615,1.24,0.0224609375
106,109568,0.5880000114440918,1.2,0.019775390625
107,110592,0.5875000119209289,1.25,0.0205078125
108,111616,0.6079000109434127,1.21,0.0263671875
109,112640,0.5479000115394592,1.21,0.033935546875
110,113664,0.568200011253357,1.18,0.029296875
111,114688,0.4289000105857849,1.11,0.024169921875
112,115712,0.5281000113487244,1.19,0.028076171875
113,116736,0.648400011062622,1.16,0.021240234375
114,117760,0.5287000107765197,1.13,0.027099609375
115,118784,0.7089000105857849,1.11,0.022216796875
116,119808,0.5086000108718872,1.14,0.02734375
117,120832,0.6086000108718872,1.14,0.02001953125
118,121856,0.46810001134872437,1.19,0.02197265625
119,122880,0.4877000117301941,1.23,0.018798828125
120,123904,0.668900010585785,1.11,0.025146484375
121,124928,0.8089000105857849,1.11,0.03125
122,125952,0.6480000114440918,1.2,0.0263671875
123,126976,0.6881000113487243,1.19,0.026123046875
124,128000,0.6289000105857849,1.11,0.02099609375
125,129024,0.6683000111579895,1.17,0.0234375
126,130048,0.6486000108718872,1.14,0.021484375
127,131072,0.48900001049041747,1.1,0.02294921875
128,132096,0.7287000107765198,1.13,0.0341796875
129,133120,0.6084000110626221,1.16,0.045654296875
130,134144,0.6889000105857849,1.11,0.01416015625
131,135168,0.6086000108718872,1.14,0.01513671875
132,136192,0.6893000102043152,1.07,0.015869140625
133,137216,0.5690000104904175,1.1,0.0166015625
134,138240,0.6890000104904175,1.1,0.016357421875
135,139264,0.62910001039505,1.09,0.025146484375
136,140288,0.5678000116348266,1.22,0.024658203125
137,141312,0.6084000110626221,1.16,0.028076171875
138,142336,0.6678000116348266,1.22,0.034423828125
139,143360,0.648900010585785,1.11,0.031494140625
140,144384,0.5491000103950501,1.09,0.021240234375
141,145408,0.6077000111341476,1.23,0.036865234375
142,146432,0.5482000112533569,1.18,0.0302734375
143,147456,0.7085000103712082,1.15,0.03271484375
144,148480,0.42720001220703124,1.28,0.02587890625
145,149504,0.6683000111579895,1.17,0.038818359375
146,150528,0.608200011253357,1.18,0.03271484375
147,151552,0.5274000120162964,1.26,0.035400390625
148,152576,0.7090000104904175,1.1,0.025390625
149,153600,0.7071000123023987,1.29,0.03369140625
150,154624,0.6281000113487244,1.19,0.028564453125
151,155648,0.5068000119924545,1.32,0.023193359375
