update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.2,1.5,0.01806640625
1,2048,0.3,1.33,0.0078125
2,3072,0.48,1.49,0.010009765625
3,4096,0.42,1.4,0.01123046875
4,5120,0.44,1.43,0.011962890625
5,6144,0.38,1.28,0.011474609375
6,7168,0.46,1.44,0.015380859375
7,8192,0.4,1.34,0.015625
8,9216,0.38,1.33,0.017822265625
9,10240,0.42,1.58,0.012451171875
10,11264,0.5,1.57,0.02294921875
11,12288,0.44,1.59,0.016357421875
12,13312,0.4,1.45,0.015869140625
13,14336,0.52,1.5,0.013671875
14,15360,0.5,1.46,0.0107421875
15,16384,0.62,1.36,0.017333984375
16,17408,0.34,1.46,0.016357421875
17,18432,0.4,1.47,0.0185546875
18,19456,0.48,1.49,0.017333984375
19,20480,0.5,1.39,0.022216796875
20,21504,0.48,1.59,0.016357421875
21,22528,0.58,1.53,0.018798828125
22,23552,0.46,1.44,0.012451171875
23,24576,0.42,1.67,0.030029296875
24,25600,0.54,1.64,0.0283203125
25,26624,0.44,1.47,0.02685546875
26,27648,0.48,1.52,0.02294921875
27,28672,0.36,1.48,0.015869140625
28,29696,0.5,1.46,0.01416015625
29,30720,0.58,1.38,0.02001953125
30,31744,0.4,1.56,0.02099609375
31,32768,0.56,1.53,0.023681640625
32,33792,0.68,1.48,0.02685546875
33,34816,0.42,1.56,0.023681640625
34,35840,0.4,1.46,0.02685546875
35,36864,0.48,1.63,0.018310546875
36,37888,0.54,1.45,0.02392578125
37,38912,0.58,1.48,0.031005859375
38,39936,0.46,1.44,0.0205078125
39,40960,0.5,1.52,0.020263671875
40,41984,0.44,1.48,0.023681640625
41,43008,0.5,1.29,0.027099609375
42,44032,0.54,1.44,0.024169921875
43,45056,0.6,1.34,0.02099609375
44,46080,0.5,1.32,0.0283203125
45,47104,0.4,1.45,0.02392578125
46,48128,0.64,1.44,0.029052734375
47,49152,0.36,1.42,0.021728515625
48,50176,0.52,1.63,0.020263671875
49,51200,0.52,1.68,0.02490234375
50,52224,0.58,1.6,0.02099609375
51,53248,0.64,1.38,0.023193359375
52,54272,0.52,1.44,0.028076171875
53,55296,0.62,1.39,0.02685546875
54,56320,0.54,1.44,0.03662109375
55,57344,0.56,1.39,0.026123046875
56,58368,0.54,1.42,0.03759765625
57,59392,0.62,1.45,0.0458984375
58,60416,0.6,1.37,0.02978515625
59,61440,0.4,1.52,0.02685546875
60,62464,0.48,1.51,0.0244140625
61,63488,0.54,1.42,0.02587890625
62,64512,0.66,1.57,0.03564453125
63,65536,0.36,1.51,0.025634765625
64,66560,0.5,1.54,0.028076171875
65,67584,0.54,1.45,0.03515625
66,68608,0.64,1.5,0.029541015625
67,69632,0.58,1.54,0.03857421875
68,70656,0.68,1.31,0.0341796875
69,71680,0.44,1.77,0.022705078125
70,72704,0.52,1.4,0.033935546875
71,73728,0.58,1.32,0.037353515625
72,74752,0.52,1.45,0.033935546875
73,75776,0.6,1.21,0.03125
74,76800,0.5,1.48,0.02685546875
75,77824,0.68,1.37,0.0234375
76,78848,0.58,1.61,0.02685546875
77,79872,0.62,1.38,0.0322265625
78,80896,0.5,1.44,0.03271484375
79,81920,0.66,1.43,0.034912109375
80,82944,0.46,1.46,0.034423828125
81,83968,0.56,1.34,0.03076171875
82,84992,0.66,1.34,0.0390625
83,86016,0.58,1.42,0.02490234375
84,87040,0.66,1.19,0.0283203125
85,88064,0.52,1.44,0.029541015625
86,89088,0.6,1.19,0.023193359375
87,90112,0.7,1.24,0.036376953125
88,91136,0.62,1.24,0.0224609375
89,92160,0.7,1.29,0.024169921875
90,93184,0.54,1.32,0.025390625
91,94208,0.56,1.4,0.029296875
92,95232,0.64,1.25,0.02880859375
93,96256,0.54,1.32,0.027587890625
94,97280,0.52,1.25,0.021728515625
95,98304,0.38,1.34,0.023681640625
96,99328,0.62,1.25,0.019775390625
97,100352,0.5,1.18,0.02978515625
98,101376,0.5,1.25,0.02587890625
99,102400,0.48,1.24,0.02587890625
100,103424,0.64,1.11,0.02734375
101,104448,0.42,1.3,0.02880859375
102,105472,0.46,1.26,0.039306640625
103,106496,0.62,1.29,0.029296875
104,107520,0.58,1.19,0.029296875
105,108544,0.46,1.27,0.031005859375
