update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.36,1.5,0.005615234375
1,2048,0.18,1.34,0.002685546875
2,3072,0.16,1.31,0.00341796875
3,4096,0.36,1.53,0.0029296875
4,5120,0.32,1.35,0.00146484375
5,6144,0.14,1.28,0.002685546875
6,7168,0.38,1.34,0.00341796875
7,8192,0.32,1.56,0.0029296875
8,9216,0.32,1.65,0.00244140625
9,10240,0.14,1.48,0.006103515625
10,11264,0.34,1.31,0.002197265625
11,12288,0.16,1.33,0.002197265625
12,13312,0.5,1.22,0.003173828125
13,14336,0.18,1.41,0.001708984375
14,15360,0.34,1.24,0.003173828125
15,16384,0.46,1.36,0.0029296875
16,17408,0.24,1.55,0.00341796875
17,18432,0.54,1.34,0.00634765625
18,19456,0.34,1.3,0.001220703125
19,20480,0.3,1.53,0.00390625
20,21504,0.42,1.42,0.002197265625
21,22528,0.46,1.41,0.0029296875
22,23552,0.26,1.37,0.001708984375
23,24576,0.32,1.33,0.00390625
24,25600,0.38,1.28,0.002685546875
25,26624,0.46,1.34,0.0078125
26,27648,0.46,1.26,0.0048828125
27,28672,0.46,1.26,0.006103515625
28,29696,0.34,1.28,0.00341796875
29,30720,0.42,1.48,0.00732421875
30,31744,0.28,1.38,0.004150390625
31,32768,0.3,1.33,0.00390625
32,33792,0.52,1.27,0.0029296875
33,34816,0.48,1.38,0.00439453125
34,35840,0.46,1.27,0.00244140625
35,36864,0.54,1.34,0.006591796875
36,37888,0.4,1.29,0.00244140625
37,38912,0.48,1.23,0.005859375
38,39936,0.42,1.21,0.004638671875
39,40960,0.54,1.38,0.0029296875
40,41984,0.52,1.26,0.00341796875
41,43008,0.36,1.43,0.0048828125
42,44032,0.38,1.35,0.00634765625
43,45056,0.3,1.38,0.00634765625
44,46080,0.4,1.31,0.003662109375
45,47104,0.42,1.24,0.004150390625
46,48128,0.52,1.42,0.00537109375
47,49152,0.4,1.27,0.003662109375
48,50176,0.6,1.26,0.00830078125
49,51200,0.52,1.29,0.005859375
50,52224,0.48,1.26,0.00390625
51,53248,0.6,1.27,0.0087890625
52,54272,0.48,1.39,0.00439453125
53,55296,0.4,1.35,0.0029296875
54,56320,0.42,1.22,0.005126953125
55,57344,0.52,1.38,0.00244140625
56,58368,0.44,1.34,0.001953125
57,59392,0.46,1.27,0.0087890625
58,60416,0.58,1.3,0.005615234375
59,61440,0.56,1.28,0.00927734375
60,62464,0.42,1.29,0.001708984375
61,63488,0.34,1.25,0.011474609375
62,64512,0.44,1.27,0.005126953125
63,65536,0.46,1.24,0.005615234375
64,66560,0.4,1.31,0.006103515625
65,67584,0.56,1.25,0.008544921875
66,68608,0.34,1.33,0.004638671875
67,69632,0.62,1.17,0.005615234375
68,70656,0.46,1.3,0.004638671875
69,71680,0.6,1.37,0.00341796875
70,72704,0.56,1.31,0.01123046875
