update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.2728000229597092,1.36,0.0048828125
1,2048,0.3086000233888626,1.57,0.004638671875
2,3072,0.35280002415180206,1.36,0.0029296875
3,4096,0.19320002257823943,1.34,0.0029296875
4,5120,0.2542000234127045,1.29,0.0029296875
5,6144,0.3324000251293182,1.38,0.0009765625
6,7168,0.290800022482872,1.46,0.002197265625
7,8192,0.4144000232219696,1.28,0.00244140625
8,9216,0.33380002319812774,1.31,0.0009765625
9,10240,0.4312000226974487,1.44,0.001953125
10,11264,0.4942000216245651,1.29,0.001708984375
11,12288,0.4534000217914581,1.33,0.0029296875
12,13312,0.2724000233411789,1.38,0.001708984375
13,14336,0.37540002167224884,1.23,0.002685546875
14,15360,0.4746000212430954,1.27,0.00146484375
15,16384,0.37280002295970915,1.36,0.0048828125
16,17408,0.33380002200603487,1.31,0.001220703125
17,18432,0.4122000217437744,1.39,0.00341796875
18,19456,0.5750000220537186,1.25,0.00244140625
19,20480,0.2722000217437744,1.39,0.005126953125
20,21504,0.17360002279281617,1.32,0.001953125
21,22528,0.37320002377033235,1.34,0.00390625
22,23552,0.29360002398490903,1.32,0.0029296875
23,24576,0.3124000233411789,1.38,0.003173828125
24,25600,0.41420002162456515,1.29,0.000732421875
25,26624,0.4348000222444534,1.26,0.003173828125
26,27648,0.433400022983551,1.33,0.00244140625
27,28672,0.3732000225782394,1.34,0.0029296875
28,29696,0.45480002105236056,1.26,0.00439453125
29,30720,0.5348000210523606,1.26,0.002197265625
30,31744,0.2914000231027603,1.43,0.005126953125
31,32768,0.4744000220298767,1.28,0.002197265625
32,33792,0.45320002257823944,1.34,0.001953125
33,34816,0.595600021481514,1.22,0.001953125
34,35840,0.4748000210523605,1.26,0.002197265625
35,36864,0.5540000218153,1.3,0.001708984375
36,37888,0.41400002300739286,1.3,0.000244140625
37,38912,0.4340000212192535,1.3,0.002197265625
38,39936,0.5128000229597092,1.36,0.002197265625
39,40960,0.5136000216007233,1.32,0.00537109375
40,41984,0.29460002183914186,1.27,0.0029296875
41,43008,0.41540002048015595,1.23,0.00732421875
42,44032,0.33100002348423,1.45,0.00146484375
43,45056,0.3740000230073929,1.3,0.002197265625
44,46080,0.4320000231266022,1.4,0.001708984375
45,47104,0.1496000248193741,1.52,0.000732421875
46,48128,0.5524000215530396,1.38,0.001708984375
47,49152,0.4328000217676163,1.36,0.002197265625
48,50176,0.4744000220298767,1.28,0.00390625
49,51200,0.4134000253677368,1.33,0.002197265625
50,52224,0.355800022482872,1.21,0.001220703125
51,53248,0.3952000218629837,1.24,0.003173828125
