update,global_step,ep_return_mean_100,ep_len_mean_100,clip_frac
0,1024,0.42,1.51,0.00537109375
1,2048,0.24,1.35,0.00048828125
2,3072,0.38,1.31,0.00341796875
3,4096,0.26,1.48,0.001220703125
4,5120,0.4,1.33,0.000244140625
5,6144,0.34,1.33,0.0009765625
6,7168,0.42,1.36,0.001220703125
7,8192,0.34,1.46,0.0009765625
8,9216,0.22,1.67,0.001708984375
9,10240,0.44,1.48,0.002685546875
10,11264,0.32,1.3,0.00146484375
11,12288,0.36,1.36,0.002685546875
12,13312,0.28,1.37,0.00244140625
13,14336,0.3,1.45,0.003662109375
14,15360,0.38,1.19,0.001220703125
15,16384,0.52,1.45,0.005126953125
16,17408,0.34,1.43,0.001708984375
17,18432,0.42,1.33,0.001708984375
18,19456,0.4,1.37,0.002197265625
19,20480,0.32,1.55,0.00244140625
20,21504,0.4,1.5,0.00048828125
21,22528,0.38,1.42,0.002197265625
22,23552,0.38,1.37,0.00146484375
23,24576,0.4,1.4,0.002685546875
24,25600,0.42,1.36,0.0029296875
25,26624,0.3,1.49,0.001953125
26,27648,0.32,1.4,0.000732421875
27,28672,0.4,1.39,0.004638671875
28,29696,0.4,1.41,0.00244140625
29,30720,0.42,1.43,0.000244140625
30,31744,0.44,1.41,0.003173828125
31,32768,0.34,1.36,0.00341796875
32,33792,0.4,1.35,0.005859375
33,34816,0.4,1.48,0.00146484375
34,35840,0.34,1.38,0.0009765625
35,36864,0.48,1.49,0.001708984375
36,37888,0.44,1.41,0.004638671875
37,38912,0.56,1.36,0.00048828125
38,39936,0.42,1.49,0.0009765625
39,40960,0.28,1.45,0.0029296875
40,41984,0.44,1.3,0.0009765625
41,43008,0.52,1.53,0.00341796875
42,44032,0.4,1.5,0.003173828125
43,45056,0.62,1.47,0.00146484375
44,46080,0.36,1.44,0.002197265625
45,47104,0.4,1.42,0.001708984375
46,48128,0.46,1.5,0.001220703125
47,49152,0.5,1.32,0.004150390625
48,50176,0.38,1.44,0.004150390625
49,51200,0.36,1.54,0.003173828125
50,52224,0.5,1.37,0.00341796875
51,53248,0.48,1.4,0.0048828125
52,54272,0.46,1.54,0.0107421875
53,55296,0.28,1.57,0.002685546875
54,56320,0.52,1.45,0.00048828125
55,57344,0.5,1.66,0.0048828125
56,58368,0.32,1.48,0.005126953125
57,59392,0.44,1.61,0.001708984375
58,60416,0.52,1.51,0.00244140625
59,61440,0.48,1.68,0.001708984375
60,62464,0.42,1.56,0.001708984375
61,63488,0.4,1.58,0.0029296875
62,64512,0.42,1.59,0.00341796875
63,65536,0.44,1.4,0.00390625
64,66560,0.36,1.47,0.00390625
65,67584,0.52,1.56,0.00341796875
66,68608,0.44,1.62,0.004638671875
67,69632,0.54,1.67,0.00146484375
68,70656,0.6,1.43,0.003173828125
69,71680,0.52,1.36,0.00244140625
70,72704,0.4,1.62,0.007080078125
71,73728,0.54,1.5,0.005615234375
72,74752,0.44,1.5,0.00537109375
73,75776,0.4,1.48,0.0029296875
74,76800,0.28,1.5,0.003662109375
75,77824,0.4,1.48,0.001953125
76,78848,0.54,1.46,0.000244140625
77,79872,0.46,1.47,0.003662109375
78,80896,0.4,1.56,0.001953125
79,81920,0.42,1.56,0.001708984375
80,82944,0.48,1.4,0.003173828125
81,83968,0.44,1.46,0.003173828125
82,84992,0.46,1.61,0.0029296875
83,86016,0.4,1.46,0.002685546875
84,87040,0.36,1.58,0.003173828125
85,88064,0.44,1.68,0.002685546875
86,89088,0.5,1.54,0.005615234375
87,90112,0.38,1.53,0.001953125
88,91136,0.56,1.5,0.00341796875
89,92160,0.58,1.54,0.001953125
90,93184,0.6,1.88,0.00439453125
91,94208,0.38,1.56,0.004150390625
92,95232,0.58,1.67,0.006591796875
93,96256,0.48,1.54,0.006591796875
94,97280,0.54,1.42,0.005126953125
95,98304,0.4,1.49,0.00439453125
96,99328,0.42,1.49,0.006103515625
97,100352,0.5,1.54,0.003173828125
98,101376,0.5,1.51,0.003662109375
99,102400,0.48,1.4,0.004150390625
100,103424,0.54,1.44,0.00439453125
101,104448,0.42,1.59,0.004638671875
102,105472,0.36,1.54,0.005615234375
103,106496,0.24,1.49,0.004150390625
104,107520,0.62,1.47,0.011474609375
105,108544,0.5,1.38,0.00390625
106,109568,0.46,1.43,0.002197265625
107,110592,0.36,1.39,0.001953125
108,111616,0.4,1.53,0.004150390625
109,112640,0.48,1.42,0.0078125
110,113664,0.38,1.5,0.005126953125
111,114688,0.48,1.44,0.0048828125
112,115712,0.44,1.37,0.004150390625
113,116736,0.6,1.51,0.006103515625
114,117760,0.46,1.45,0.005859375
115,118784,0.46,1.66,0.005615234375
116,119808,0.68,1.47,0.00634765625
117,120832,0.4,1.35,0.00341796875
118,121856,0.7,1.58,0.0048828125
119,122880,0.4,1.49,0.00439453125
120,123904,0.58,1.38,0.0087890625
121,124928,0.54,1.38,0.001953125
122,125952,0.54,1.39,0.006103515625
123,126976,0.46,1.57,0.005859375
124,128000,0.46,1.57,0.005615234375
125,129024,0.54,1.41,0.0078125
126,130048,0.48,1.47,0.00244140625
127,131072,0.46,1.67,0.0068359375
128,132096,0.46,1.44,0.003662109375
129,133120,0.44,1.47,0.00537109375
130,134144,0.54,1.43,0.00537109375
131,135168,0.56,1.41,0.00537109375
132,136192,0.4,1.31,0.003662109375
133,137216,0.48,1.34,0.00244140625
134,138240,0.56,1.43,0.00439453125
135,139264,0.56,1.42,0.00341796875
136,140288,0.42,1.53,0.0048828125
137,141312,0.54,1.37,0.002197265625
138,142336,0.44,1.4,0.0078125
139,143360,0.46,1.62,0.003662109375
140,144384,0.64,1.41,0.006103515625
141,145408,0.34,1.51,0.01025390625
142,146432,0.32,1.5,0.005126953125
143,147456,0.56,1.48,0.005859375
144,148480,0.52,1.56,0.00341796875
145,149504,0.48,1.62,0.00146484375
146,150528,0.5,1.72,0.004150390625
147,151552,0.48,1.66,0.005126953125
148,152576,0.6,1.53,0.00390625
149,153600,0.44,1.61,0.007080078125
150,154624,0.52,1.47,0.00537109375
151,155648,0.52,1.55,0.004638671875
152,156672,0.46,1.77,0.0068359375
153,157696,0.58,1.56,0.007568359375
154,158720,0.38,1.58,0.004638671875
155,159744,0.48,1.77,0.0048828125
156,160768,0.42,1.53,0.00439453125
157,161792,0.48,1.64,0.0029296875
158,162816,0.46,1.67,0.002685546875
159,163840,0.42,1.7,0.00634765625
160,164864,0.52,1.52,0.004638671875
161,165888,0.66,1.52,0.004150390625
162,166912,0.46,1.68,0.005615234375
163,167936,0.58,1.6,0.0048828125
164,168960,0.48,1.67,0.002685546875
165,169984,0.62,1.64,0.005126953125
166,171008,0.62,1.48,0.005126953125
167,172032,0.58,1.64,0.005126953125
168,173056,0.48,1.74,0.003662109375
169,174080,0.4,1.51,0.0068359375
170,175104,0.54,1.55,0.00634765625
171,176128,0.44,1.51,0.0048828125
172,177152,0.58,1.62,0.006103515625
173,178176,0.58,1.59,0.005126953125
174,179200,0.64,1.65,0.006103515625
175,180224,0.54,1.59,0.001708984375
176,181248,0.5,1.66,0.005859375
177,182272,0.56,1.84,0.005126953125
178,183296,0.66,1.64,0.008056640625
179,184320,0.54,1.51,0.005615234375
180,185344,0.6,1.65,0.005126953125
181,186368,0.34,1.85,0.005615234375
182,187392,0.58,1.68,0.002685546875
183,188416,0.62,1.72,0.007080078125
184,189440,0.36,1.8,0.005615234375
185,190464,0.44,1.97,0.004638671875
186,191488,0.64,1.62,0.0048828125
187,192512,0.62,1.66,0.0029296875
188,193536,0.52,1.86,0.0029296875
189,194560,0.44,1.92,0.008544921875
190,195584,0.56,1.88,0.005859375
191,196608,0.42,1.63,0.00634765625
192,197632,0.46,1.78,0.005126953125
193,198656,0.46,1.92,0.004150390625
194,199680,0.54,1.69,0.006103515625
195,200704,0.48,1.92,0.003662109375
196,201728,0.28,1.95,0.009521484375
197,202752,0.46,1.81,0.0078125
198,203776,0.4,2.07,0.006103515625
199,204800,0.42,1.97,0.004150390625
200,205824,0.36,1.76,0.005126953125
201,206848,0.48,1.87,0.0029296875
202,207872,0.7,1.68,0.005615234375
203,208896,0.36,1.89,0.004150390625
204,209920,0.62,1.74,0.004150390625
205,210944,0.46,2.0,0.002685546875
206,211968,0.66,2.06,0.00390625
207,212992,0.52,1.84,0.007080078125
208,214016,0.54,1.99,0.005859375
209,215040,0.54,1.78,0.00390625
210,216064,0.56,2.01,0.0068359375
211,217088,0.54,1.69,0.008544921875
212,218112,0.58,2.25,0.006103515625
213,219136,0.62,1.96,0.006103515625
214,220160,0.4,1.88,0.00244140625
215,221184,0.6,1.94,0.008544921875
216,222208,0.56,1.8,0.006103515625
217,223232,0.52,1.82,0.00537109375
218,224256,0.54,1.86,0.004150390625
219,225280,0.54,2.01,0.006591796875
220,226304,0.52,1.85,0.003662109375
221,227328,0.54,1.89,0.00537109375
222,228352,0.58,1.82,0.005859375
223,229376,0.48,2.08,0.004638671875
224,230400,0.68,1.73,0.007568359375
225,231424,0.64,1.91,0.008056640625
226,232448,0.42,1.92,0.0048828125
227,233472,0.56,1.89,0.004638671875
228,234496,0.62,1.85,0.005859375
229,235520,0.62,1.95,0.00537109375
230,236544,0.58,1.76,0.006591796875
231,237568,0.54,2.04,0.00732421875
232,238592,0.5,2.04,0.00927734375
233,239616,0.44,2.03,0.00927734375
234,240640,0.5,1.83,0.005126953125
235,241664,0.72,1.75,0.004638671875
236,242688,0.6,1.9,0.006103515625
237,243712,0.62,1.8,0.005126953125
238,244736,0.48,1.76,0.0087890625
239,245760,0.56,1.84,0.007568359375
240,246784,0.48,1.84,0.0068359375
241,247808,0.48,1.75,0.00732421875
242,248832,0.48,1.81,0.005859375
243,249856,0.5,1.89,0.006103515625
244,250880,0.56,1.94,0.005126953125
245,251904,0.46,1.91,0.005859375
